Data Source,TIMEFRAME (DD/MM/YYYY),Volumetric Flow Meter 1,Volumetric Flow Meter 2,Pump Speed (RPM),Pump Torque ,Ambient Temperature,Horse Power,Pump Efficiency,PUMP FAILURE (1 or 0)
Rolling Stdev (30 Minute),9/12/2014 9:37,1.18,1.29,6.60,9.97,3.07,0.28,2.34,0
Rolling Stdev (30 Minute),9/12/2014 9:38,1.13,1.26,6.44,9.86,3.02,0.27,2.30,0
Rolling Stdev (30 Minute),9/12/2014 9:39,1.12,1.27,6.43,10.37,2.94,0.26,2.31,0
Rolling Stdev (30 Minute),9/12/2014 9:40,1.06,1.25,6.51,10.11,2.80,0.27,2.27,0
Rolling Stdev (30 Minute),9/12/2014 9:41,0.99,1.25,6.38,10.69,2.77,0.26,2.28,0
Rolling Stdev (30 Minute),9/12/2014 9:42,1.03,1.25,6.32,10.72,2.69,0.25,2.27,0
Rolling Stdev (30 Minute),9/12/2014 9:43,1.01,1.26,6.37,10.82,2.69,0.25,2.29,0
Rolling Stdev (30 Minute),9/12/2014 9:44,0.99,1.25,6.14,10.89,2.53,0.25,2.28,0
Rolling Stdev (30 Minute),9/12/2014 9:45,1.01,1.23,6.14,10.89,2.53,0.25,2.24,0
Rolling Stdev (30 Minute),9/12/2014 9:46,1.03,1.22,6.31,10.92,2.63,0.25,2.22,0
Rolling Stdev (30 Minute),9/12/2014 9:47,1.00,1.16,6.23,11.25,2.66,0.24,2.11,0
Rolling Stdev (30 Minute),9/12/2014 9:48,1.06,1.12,6.47,11.66,2.72,0.24,2.04,0
Rolling Stdev (30 Minute),9/12/2014 9:49,1.05,1.12,6.63,11.43,2.70,0.23,2.03,0
Rolling Stdev (30 Minute),9/12/2014 9:50,1.09,1.12,6.39,11.64,2.70,0.22,2.04,0
Rolling Stdev (30 Minute),9/12/2014 9:51,1.08,1.07,6.38,11.97,2.66,0.24,1.95,0
Rolling Stdev (30 Minute),9/12/2014 9:52,1.05,1.00,6.31,12.42,2.71,0.24,1.82,0
Rolling Stdev (30 Minute),9/12/2014 9:53,1.10,0.96,6.45,12.22,2.79,0.25,1.75,0
Rolling Stdev (30 Minute),9/12/2014 9:54,1.13,0.93,6.27,12.27,2.77,0.25,1.70,0
Rolling Stdev (30 Minute),9/12/2014 9:55,1.14,0.97,6.47,12.45,2.70,0.27,1.76,0
Rolling Stdev (30 Minute),9/12/2014 9:56,1.16,1.02,6.44,12.59,2.66,0.27,1.85,0
Rolling Stdev (30 Minute),9/12/2014 9:57,1.16,1.07,6.31,12.65,2.70,0.27,1.95,0
Rolling Stdev (30 Minute),9/12/2014 9:58,1.15,1.12,6.36,12.55,2.84,0.27,2.04,0
Rolling Stdev (30 Minute),9/12/2014 9:59,1.16,1.11,6.14,12.78,2.84,0.28,2.02,0
Rolling Stdev (30 Minute),9/12/2014 10:00,1.16,1.11,5.89,13.15,2.93,0.30,2.03,0
Rolling Stdev (30 Minute),9/12/2014 10:01,1.16,1.14,6.11,13.42,2.97,0.29,2.08,0
Rolling Stdev (30 Minute),9/12/2014 10:02,1.20,1.10,6.28,13.73,2.92,0.32,2.00,0
Rolling Stdev (30 Minute),9/12/2014 10:03,1.28,1.14,6.31,14.92,2.92,0.35,2.16,0
Rolling Stdev (30 Minute),9/12/2014 10:04,1.29,1.13,6.51,15.32,2.92,0.39,2.12,0
Rolling Stdev (30 Minute),9/12/2014 10:05,1.29,1.14,6.70,15.93,2.89,0.42,2.09,0
Rolling Stdev (30 Minute),9/12/2014 10:06,1.32,1.21,6.75,15.68,3.00,0.42,2.15,0
Rolling Stdev (30 Minute),9/12/2014 10:07,1.34,1.24,6.96,16.68,3.04,0.46,2.19,0
Rolling Stdev (30 Minute),9/12/2014 10:08,1.34,1.24,7.22,16.62,2.98,0.47,2.19,0
Rolling Stdev (30 Minute),9/12/2014 10:09,1.32,1.28,7.29,17.37,3.00,0.50,2.22,0
Rolling Stdev (30 Minute),9/12/2014 10:10,1.32,1.32,7.22,18.03,2.99,0.51,2.22,0
Rolling Stdev (30 Minute),9/12/2014 10:11,1.37,1.27,7.31,18.22,2.96,0.53,2.23,0
Rolling Stdev (30 Minute),9/12/2014 10:12,1.27,1.26,7.58,18.36,2.90,0.55,2.22,0
Rolling Stdev (30 Minute),9/12/2014 10:13,1.21,1.23,7.59,18.16,2.87,0.55,2.16,0
Rolling Stdev (30 Minute),9/12/2014 10:14,1.21,1.25,7.58,17.99,2.87,0.55,2.15,0
Rolling Stdev (30 Minute),9/12/2014 10:15,1.10,1.19,7.80,18.25,2.88,0.56,2.04,0
Rolling Stdev (30 Minute),9/12/2014 10:16,1.11,1.17,7.45,18.18,2.77,0.55,2.00,0
Rolling Stdev (30 Minute),9/12/2014 10:17,1.05,1.14,7.44,17.17,2.82,0.54,1.98,0
Rolling Stdev (30 Minute),9/12/2014 10:18,1.04,1.13,6.98,17.23,2.81,0.53,1.94,0
Rolling Stdev (30 Minute),9/12/2014 10:19,1.07,1.03,6.48,17.14,2.81,0.51,1.82,0
Rolling Stdev (30 Minute),9/12/2014 10:20,1.10,1.03,6.51,17.49,2.84,0.52,1.88,0
Rolling Stdev (30 Minute),9/12/2014 10:21,1.08,1.05,6.52,17.50,2.62,0.52,1.90,0
Rolling Stdev (30 Minute),9/12/2014 10:22,1.13,1.03,6.47,15.97,2.61,0.50,1.93,0
Rolling Stdev (30 Minute),9/12/2014 10:23,1.13,1.00,6.45,15.67,2.35,0.50,1.92,0
Rolling Stdev (30 Minute),9/12/2014 10:24,1.13,0.93,6.29,15.65,2.36,0.49,1.81,0
Rolling Stdev (30 Minute),9/12/2014 10:25,1.10,0.94,5.52,14.30,2.40,0.43,1.86,0
Rolling Stdev (30 Minute),9/12/2014 10:26,1.11,0.94,5.14,14.19,2.36,0.42,1.86,0
Rolling Stdev (30 Minute),9/12/2014 10:27,1.11,0.94,4.87,13.91,1.92,0.40,1.86,0
Rolling Stdev (30 Minute),9/12/2014 10:28,1.00,0.94,4.18,13.17,1.92,0.36,1.88,0
Rolling Stdev (30 Minute),9/12/2014 10:29,1.00,0.94,3.24,9.88,1.93,0.25,1.88,0
Rolling Stdev (30 Minute),9/12/2014 10:30,0.89,0.96,3.09,9.80,1.44,0.24,1.90,0
Rolling Stdev (30 Minute),9/12/2014 10:31,0.82,0.79,3.11,5.69,1.44,0.18,1.63,0
Rolling Stdev (30 Minute),9/12/2014 10:32,0.84,0.72,3.11,5.14,1.23,0.17,1.53,0
Rolling Stdev (30 Minute),9/12/2014 10:33,0.82,0.76,3.11,5.21,1.22,0.17,1.49,0
Rolling Stdev (30 Minute),9/12/2014 10:34,0.84,0.82,3.14,5.08,1.20,0.18,1.52,0
Rolling Stdev (30 Minute),9/12/2014 10:35,0.83,0.80,3.23,5.10,1.18,0.18,1.52,0
Rolling Stdev (30 Minute),9/12/2014 10:36,0.85,0.76,3.21,5.21,1.14,0.17,1.54,0
Rolling Stdev (30 Minute),9/12/2014 10:37,0.86,0.77,3.28,5.12,1.18,0.17,1.56,0
Rolling Stdev (30 Minute),9/12/2014 10:38,0.88,0.79,3.29,5.05,1.16,0.18,1.60,0
Rolling Stdev (30 Minute),9/12/2014 10:39,0.88,0.81,3.29,5.26,1.16,0.18,1.60,0
Rolling Stdev (30 Minute),9/12/2014 10:40,0.91,0.81,3.33,5.48,1.13,0.18,1.66,0
Rolling Stdev (30 Minute),9/12/2014 10:41,0.90,0.81,3.32,5.51,1.17,0.18,1.63,0
Rolling Stdev (30 Minute),9/12/2014 10:42,0.91,0.84,3.16,5.51,1.17,0.17,1.65,0
Rolling Stdev (30 Minute),9/12/2014 10:43,0.91,0.87,3.08,5.76,1.13,0.17,1.66,0
Rolling Stdev (30 Minute),9/12/2014 10:44,0.90,0.88,3.25,5.74,1.09,0.18,1.64,0
Rolling Stdev (30 Minute),9/12/2014 10:45,0.90,0.87,3.18,5.74,1.08,0.18,1.64,0
Rolling Stdev (30 Minute),9/12/2014 10:46,0.92,1.02,3.20,5.84,1.06,0.17,1.68,0
Rolling Stdev (30 Minute),9/12/2014 10:47,1.07,1.18,3.09,7.51,1.88,0.19,1.94,0
Rolling Stdev (30 Minute),9/12/2014 10:48,1.14,1.18,3.04,9.86,1.96,0.24,1.95,0
Rolling Stdev (30 Minute),9/12/2014 10:49,1.23,1.16,3.04,11.21,2.00,0.26,1.92,0
Rolling Stdev (30 Minute),9/12/2014 10:50,1.22,1.23,4.69,12.51,2.08,0.35,2.05,0
Rolling Stdev (30 Minute),9/12/2014 10:51,1.22,1.23,5.17,14.15,2.08,0.41,2.09,0
Rolling Stdev (30 Minute),9/12/2014 10:52,1.19,1.31,5.29,15.69,2.54,0.44,2.27,0
Rolling Stdev (30 Minute),9/12/2014 10:53,1.22,1.30,6.07,16.08,2.82,0.48,2.24,0
Rolling Stdev (30 Minute),9/12/2014 10:54,1.25,1.31,6.87,17.58,2.85,0.54,2.27,0
Rolling Stdev (30 Minute),9/12/2014 10:55,1.21,1.32,6.88,18.11,2.81,0.54,2.22,0
Rolling Stdev (30 Minute),9/12/2014 10:56,1.26,1.39,7.29,17.77,2.81,0.54,2.39,0
Rolling Stdev (30 Minute),9/12/2014 10:57,1.32,1.39,7.20,18.24,2.77,0.55,2.38,0
Rolling Stdev (30 Minute),9/12/2014 10:58,1.39,1.38,7.21,18.65,2.84,0.55,2.33,0
Rolling Stdev (30 Minute),9/12/2014 10:59,1.41,1.40,7.16,18.61,2.99,0.55,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:00,1.37,1.35,7.48,18.40,3.13,0.56,2.32,0
Rolling Stdev (30 Minute),9/12/2014 11:01,1.39,1.35,7.74,17.97,3.10,0.55,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:02,1.45,1.28,7.63,17.67,3.10,0.54,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:03,1.48,1.28,7.63,17.59,3.11,0.54,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:04,1.44,1.33,7.65,17.34,3.14,0.54,2.44,0
Rolling Stdev (30 Minute),9/12/2014 11:05,1.40,1.32,7.74,16.77,3.10,0.53,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:06,1.41,1.33,7.53,16.59,3.09,0.52,2.46,0
Rolling Stdev (30 Minute),9/12/2014 11:07,1.38,1.37,7.31,16.14,3.06,0.50,2.49,0
Rolling Stdev (30 Minute),9/12/2014 11:08,1.30,1.39,7.28,16.03,3.06,0.49,2.41,0
Rolling Stdev (30 Minute),9/12/2014 11:09,1.27,1.36,7.34,16.14,3.02,0.50,2.48,0
Rolling Stdev (30 Minute),9/12/2014 11:10,1.30,1.40,7.18,15.92,3.02,0.49,2.55,0
Rolling Stdev (30 Minute),9/12/2014 11:11,1.26,1.35,7.11,15.51,3.12,0.48,2.49,0
Rolling Stdev (30 Minute),9/12/2014 11:12,1.16,1.26,7.14,14.47,3.18,0.46,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:13,1.10,1.29,7.08,12.93,3.20,0.43,2.32,0
Rolling Stdev (30 Minute),9/12/2014 11:14,1.09,1.32,6.58,12.14,3.16,0.38,2.37,0
Rolling Stdev (30 Minute),9/12/2014 11:15,1.07,1.31,6.50,11.31,3.06,0.36,2.35,0
Rolling Stdev (30 Minute),9/12/2014 11:16,1.10,1.34,6.10,10.61,3.07,0.32,2.43,0
Rolling Stdev (30 Minute),9/12/2014 11:17,1.06,1.32,6.10,10.70,3.03,0.32,2.39,0
Rolling Stdev (30 Minute),9/12/2014 11:18,1.08,1.32,6.04,10.67,3.13,0.32,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:19,1.06,1.30,5.92,10.71,3.13,0.32,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:20,1.06,1.32,5.66,10.69,3.22,0.31,2.41,0
Rolling Stdev (30 Minute),9/12/2014 11:21,1.06,1.35,5.68,10.67,3.14,0.30,2.45,0
Rolling Stdev (30 Minute),9/12/2014 11:22,1.01,1.30,5.77,10.33,3.10,0.31,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:23,1.00,1.29,5.58,10.60,3.16,0.31,2.35,0
Rolling Stdev (30 Minute),9/12/2014 11:24,1.01,1.31,5.23,10.05,3.02,0.28,2.39,0
Rolling Stdev (30 Minute),9/12/2014 11:25,1.01,1.31,5.36,9.90,3.16,0.30,2.39,0
Rolling Stdev (30 Minute),9/12/2014 11:26,1.04,1.32,5.23,10.31,3.10,0.31,2.40,0
Rolling Stdev (30 Minute),9/12/2014 11:27,1.02,1.30,5.46,10.08,3.16,0.31,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:28,0.97,1.30,5.45,9.40,3.19,0.30,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:29,0.96,1.25,5.49,9.32,3.23,0.30,2.27,0
Rolling Stdev (30 Minute),9/12/2014 11:30,1.02,1.26,5.26,9.30,3.20,0.30,2.30,0
Rolling Stdev (30 Minute),9/12/2014 11:31,1.01,1.27,5.04,9.31,3.27,0.30,2.32,0
Rolling Stdev (30 Minute),9/12/2014 11:32,0.97,1.33,5.03,9.39,3.26,0.30,2.41,0
Rolling Stdev (30 Minute),9/12/2014 11:33,0.95,1.36,5.04,9.42,3.29,0.30,2.47,0
Rolling Stdev (30 Minute),9/12/2014 11:34,0.94,1.32,5.31,10.17,3.35,0.32,2.41,0
Rolling Stdev (30 Minute),9/12/2014 11:35,0.95,1.32,5.02,10.18,3.35,0.32,2.39,0
Rolling Stdev (30 Minute),9/12/2014 11:36,0.97,1.30,5.10,10.12,3.49,0.31,2.36,0
Rolling Stdev (30 Minute),9/12/2014 11:37,0.93,1.31,5.38,10.12,3.51,0.32,2.38,0
Rolling Stdev (30 Minute),9/12/2014 11:38,0.96,1.28,5.40,9.88,3.45,0.32,2.34,0
Rolling Stdev (30 Minute),9/12/2014 11:39,1.01,1.25,5.34,9.67,3.35,0.31,2.28,0
Rolling Stdev (30 Minute),9/12/2014 11:40,0.99,1.21,5.40,9.98,3.37,0.33,2.21,0
Rolling Stdev (30 Minute),9/12/2014 11:41,0.96,1.18,5.45,10.54,3.28,0.34,2.15,0
Rolling Stdev (30 Minute),9/12/2014 11:42,0.96,1.20,5.68,10.82,3.19,0.35,2.17,0
Rolling Stdev (30 Minute),9/12/2014 11:43,0.95,1.15,5.65,10.79,3.13,0.35,2.09,0
Rolling Stdev (30 Minute),9/12/2014 11:44,0.94,1.11,5.71,10.45,3.09,0.35,2.02,0
Rolling Stdev (30 Minute),9/12/2014 11:45,0.94,1.11,5.79,10.39,3.12,0.35,2.01,0
Rolling Stdev (30 Minute),9/12/2014 11:46,0.95,1.06,5.68,10.31,3.09,0.34,1.94,0
Rolling Stdev (30 Minute),9/12/2014 11:47,0.95,1.06,5.62,10.44,3.07,0.33,1.92,0
Rolling Stdev (30 Minute),9/12/2014 11:48,0.94,1.08,5.62,10.66,2.94,0.33,1.96,0
Rolling Stdev (30 Minute),9/12/2014 11:49,0.93,1.07,5.62,11.07,2.91,0.32,1.95,0
Rolling Stdev (30 Minute),9/12/2014 11:50,0.95,1.06,5.78,11.01,2.80,0.33,1.93,0
Rolling Stdev (30 Minute),9/12/2014 11:51,0.95,1.04,5.93,10.74,2.93,0.33,1.89,0
Rolling Stdev (30 Minute),9/12/2014 11:52,0.94,1.03,5.81,10.58,2.97,0.32,1.88,0
Rolling Stdev (30 Minute),9/12/2014 11:53,0.99,1.04,5.88,10.42,2.90,0.32,1.89,0
Rolling Stdev (30 Minute),9/12/2014 11:54,0.99,1.01,5.84,10.07,3.02,0.31,1.84,0
Rolling Stdev (30 Minute),9/12/2014 11:55,0.97,1.06,5.79,10.70,2.95,0.30,1.92,0
Rolling Stdev (30 Minute),9/12/2014 11:56,0.94,1.06,5.85,10.46,3.10,0.30,1.93,0
Rolling Stdev (30 Minute),9/12/2014 11:57,0.95,1.06,5.68,10.55,2.99,0.30,1.93,0
Rolling Stdev (30 Minute),9/12/2014 11:58,0.97,1.06,5.75,10.53,3.02,0.30,1.93,0
Rolling Stdev (30 Minute),9/12/2014 11:59,1.00,1.06,5.66,10.97,3.04,0.31,1.93,0
Rolling Stdev (30 Minute),9/12/2014 12:00,0.97,1.05,5.76,11.14,3.19,0.32,1.90,0
Rolling Stdev (30 Minute),9/12/2014 12:01,0.98,1.06,5.80,11.37,3.17,0.32,1.92,0
Rolling Stdev (30 Minute),9/12/2014 12:02,0.97,1.04,6.03,11.05,3.15,0.32,1.90,0
Rolling Stdev (30 Minute),9/12/2014 12:03,0.95,1.02,6.03,11.02,3.14,0.32,1.86,0
Rolling Stdev (30 Minute),9/12/2014 12:04,1.01,1.07,5.93,10.52,3.06,0.31,1.94,0
Rolling Stdev (30 Minute),9/12/2014 12:05,1.00,1.08,5.91,11.05,3.08,0.31,1.97,0
Rolling Stdev (30 Minute),9/12/2014 12:06,0.98,1.11,6.07,11.34,2.99,0.31,2.01,0
Rolling Stdev (30 Minute),9/12/2014 12:07,0.98,1.11,5.66,11.65,2.96,0.29,2.01,0
Rolling Stdev (30 Minute),9/12/2014 12:08,1.02,1.18,5.65,11.86,2.96,0.29,2.14,0
Rolling Stdev (30 Minute),9/12/2014 12:09,0.96,1.14,5.49,12.33,2.97,0.29,2.07,0
Rolling Stdev (30 Minute),9/12/2014 12:10,0.96,1.18,5.49,12.08,2.85,0.27,2.15,0
Rolling Stdev (30 Minute),9/12/2014 12:11,0.98,1.19,5.49,12.11,2.84,0.27,2.16,0
Rolling Stdev (30 Minute),9/12/2014 12:12,0.98,1.26,5.32,12.31,2.83,0.25,2.28,0
Rolling Stdev (30 Minute),9/12/2014 12:13,0.99,1.28,5.34,12.24,2.82,0.25,2.33,0
Rolling Stdev (30 Minute),9/12/2014 12:14,1.05,1.28,5.38,12.31,2.98,0.25,2.32,0
Rolling Stdev (30 Minute),9/12/2014 12:15,1.02,1.27,5.35,12.36,3.07,0.24,2.30,0
Rolling Stdev (30 Minute),9/12/2014 12:16,1.02,1.28,5.37,12.36,3.05,0.24,2.33,0
Rolling Stdev (30 Minute),9/12/2014 12:17,1.04,1.29,5.37,12.21,3.00,0.24,2.34,0
Rolling Stdev (30 Minute),9/12/2014 12:18,1.06,1.28,5.37,12.43,3.06,0.24,2.33,0
Rolling Stdev (30 Minute),9/12/2014 12:19,1.07,1.28,5.71,12.34,3.06,0.28,2.33,0
Rolling Stdev (30 Minute),9/12/2014 12:20,1.05,1.27,5.61,12.34,3.08,0.27,2.31,0
Rolling Stdev (30 Minute),9/12/2014 12:21,1.07,1.27,5.50,12.43,2.97,0.27,2.31,0
Rolling Stdev (30 Minute),9/12/2014 12:22,1.09,1.29,5.54,12.59,2.95,0.28,2.34,0
Rolling Stdev (30 Minute),9/12/2014 12:23,1.09,1.31,5.50,12.74,2.94,0.28,2.39,0
Rolling Stdev (30 Minute),9/12/2014 12:24,1.09,1.31,5.79,12.93,2.78,0.28,2.39,0
Rolling Stdev (30 Minute),9/12/2014 12:25,1.11,1.29,5.64,12.47,2.78,0.28,2.35,0
Rolling Stdev (30 Minute),9/12/2014 12:26,1.12,1.24,5.61,12.36,2.61,0.27,2.25,0
Rolling Stdev (30 Minute),9/12/2014 12:27,1.16,1.24,5.80,12.61,2.59,0.29,2.25,0
Rolling Stdev (30 Minute),9/12/2014 12:28,1.16,1.28,5.77,12.76,2.59,0.29,2.34,0
Rolling Stdev (30 Minute),9/12/2014 12:29,1.12,1.28,5.69,12.51,2.53,0.28,2.33,0
Rolling Stdev (30 Minute),9/12/2014 12:30,1.12,1.30,5.74,12.35,2.32,0.28,2.35,0
Rolling Stdev (30 Minute),9/12/2014 12:31,1.11,1.26,5.94,12.11,2.32,0.27,2.29,0
Rolling Stdev (30 Minute),9/12/2014 12:32,1.11,1.21,6.10,12.18,2.47,0.29,2.21,0
Rolling Stdev (30 Minute),9/12/2014 12:33,1.17,1.19,6.11,12.51,2.50,0.29,2.17,0
Rolling Stdev (30 Minute),9/12/2014 12:34,1.12,1.19,6.11,12.90,2.52,0.29,2.15,0
Rolling Stdev (30 Minute),9/12/2014 12:35,1.14,1.14,6.22,12.52,2.46,0.29,2.07,0
Rolling Stdev (30 Minute),9/12/2014 12:36,1.15,1.15,6.07,12.18,2.41,0.29,2.08,0
Rolling Stdev (30 Minute),9/12/2014 12:37,1.14,1.11,6.19,11.68,2.46,0.29,2.01,0
Rolling Stdev (30 Minute),9/12/2014 12:38,1.15,1.08,6.18,11.12,2.49,0.28,1.97,0
Rolling Stdev (30 Minute),9/12/2014 12:39,1.17,1.12,6.36,11.12,2.57,0.28,2.03,0
Rolling Stdev (30 Minute),9/12/2014 12:40,1.20,1.10,6.27,10.94,2.67,0.28,1.99,0
Rolling Stdev (30 Minute),9/12/2014 12:41,1.21,1.06,6.36,10.91,2.77,0.28,1.93,0
Rolling Stdev (30 Minute),9/12/2014 12:42,1.23,0.99,6.32,10.79,2.75,0.28,1.80,0
Rolling Stdev (30 Minute),9/12/2014 12:43,1.27,0.94,6.30,11.20,2.82,0.29,1.71,0
Rolling Stdev (30 Minute),9/12/2014 12:44,1.23,0.97,6.27,11.78,2.81,0.29,1.76,0
Rolling Stdev (30 Minute),9/12/2014 12:45,1.26,0.97,6.25,11.75,2.72,0.29,1.77,0
Rolling Stdev (30 Minute),9/12/2014 12:46,1.25,0.98,6.24,11.74,2.78,0.29,1.77,0
Rolling Stdev (30 Minute),9/12/2014 12:47,1.26,0.99,6.04,12.41,2.93,0.29,1.80,0
Rolling Stdev (30 Minute),9/12/2014 12:48,1.25,0.96,6.05,11.93,2.89,0.29,1.74,0
Rolling Stdev (30 Minute),9/12/2014 12:49,1.24,0.96,5.89,11.97,2.94,0.28,1.74,0
Rolling Stdev (30 Minute),9/12/2014 12:50,1.25,0.98,5.84,11.96,3.09,0.28,1.78,0
Rolling Stdev (30 Minute),9/12/2014 12:51,1.22,0.98,5.89,11.85,3.26,0.27,1.79,0
Rolling Stdev (30 Minute),9/12/2014 12:52,1.21,0.94,5.88,11.71,3.23,0.26,1.71,0
Rolling Stdev (30 Minute),9/12/2014 12:53,1.18,0.93,6.01,11.63,3.32,0.27,1.69,0
Rolling Stdev (30 Minute),9/12/2014 12:54,1.21,0.94,5.84,11.32,3.47,0.27,1.72,0
Rolling Stdev (30 Minute),9/12/2014 12:55,1.24,0.96,5.86,10.80,3.57,0.27,1.74,0
Rolling Stdev (30 Minute),9/12/2014 12:56,1.22,1.00,5.83,11.21,3.62,0.27,1.81,0
Rolling Stdev (30 Minute),9/12/2014 12:57,1.22,0.99,5.72,11.58,3.67,0.25,1.81,0
Rolling Stdev (30 Minute),9/12/2014 12:58,1.20,0.97,5.75,11.96,3.71,0.26,1.76,0
Rolling Stdev (30 Minute),9/12/2014 12:59,1.22,0.97,5.85,11.75,3.72,0.26,1.76,0
Rolling Stdev (30 Minute),9/12/2014 13:00,1.23,0.97,5.73,11.97,3.74,0.26,1.76,0
Rolling Stdev (30 Minute),9/12/2014 13:01,1.23,1.00,5.52,11.86,3.67,0.26,1.82,0
Rolling Stdev (30 Minute),9/12/2014 13:02,1.24,1.01,5.46,12.14,3.66,0.27,1.84,0
Rolling Stdev (30 Minute),9/12/2014 13:03,1.19,1.02,5.44,12.46,3.57,0.27,1.85,0
Rolling Stdev (30 Minute),9/12/2014 13:04,1.18,0.98,5.69,12.12,3.61,0.28,1.78,0
Rolling Stdev (30 Minute),9/12/2014 13:05,1.16,1.03,5.54,12.45,3.60,0.28,1.87,0
Rolling Stdev (30 Minute),9/12/2014 13:06,1.15,1.03,5.66,12.58,3.58,0.28,1.86,0
Rolling Stdev (30 Minute),9/12/2014 13:07,1.17,1.03,5.53,12.56,3.49,0.27,1.88,0
Rolling Stdev (30 Minute),9/12/2014 13:08,1.15,1.01,5.87,12.80,3.52,0.30,1.83,0
Rolling Stdev (30 Minute),9/12/2014 13:09,1.12,1.03,5.65,12.77,3.48,0.30,1.87,0
Rolling Stdev (30 Minute),9/12/2014 13:10,1.09,1.02,5.45,12.97,3.34,0.30,1.86,0
Rolling Stdev (30 Minute),9/12/2014 13:11,1.05,1.09,5.30,12.80,3.36,0.30,1.98,0
Rolling Stdev (30 Minute),9/12/2014 13:12,1.09,1.10,5.35,12.62,3.27,0.30,2.01,0
Rolling Stdev (30 Minute),9/12/2014 13:13,1.05,1.10,5.67,12.19,3.10,0.30,2.01,0
Rolling Stdev (30 Minute),9/12/2014 13:14,1.06,1.08,5.84,11.79,3.25,0.30,1.96,0
Rolling Stdev (30 Minute),9/12/2014 13:15,1.07,1.09,5.80,11.75,3.22,0.30,1.98,0
Rolling Stdev (30 Minute),9/12/2014 13:16,1.08,1.10,5.76,11.78,3.22,0.30,2.00,0
Rolling Stdev (30 Minute),9/12/2014 13:17,1.04,1.10,5.88,11.05,3.31,0.30,1.99,0
Rolling Stdev (30 Minute),9/12/2014 13:18,1.07,1.11,5.88,11.10,3.28,0.30,2.03,0
Rolling Stdev (30 Minute),9/12/2014 13:19,1.09,1.11,5.79,10.80,3.24,0.29,2.01,0
Rolling Stdev (30 Minute),9/12/2014 13:20,1.08,1.11,5.75,10.87,3.22,0.29,2.02,0
Rolling Stdev (30 Minute),9/12/2014 13:21,1.11,1.12,5.45,10.79,3.14,0.28,2.03,0
Rolling Stdev (30 Minute),9/12/2014 13:22,1.11,1.15,5.50,10.60,3.22,0.28,2.10,0
Rolling Stdev (30 Minute),9/12/2014 13:23,1.11,1.18,5.39,10.47,3.11,0.27,2.15,0
Rolling Stdev (30 Minute),9/12/2014 13:24,1.06,1.18,5.48,10.26,3.08,0.27,2.14,0
Rolling Stdev (30 Minute),9/12/2014 13:25,1.02,1.17,5.71,11.11,2.98,0.30,2.12,0
Rolling Stdev (30 Minute),9/12/2014 13:26,1.03,1.13,5.75,10.72,2.98,0.30,2.06,0
Rolling Stdev (30 Minute),9/12/2014 13:27,0.97,1.13,5.88,10.25,2.92,0.32,2.06,0
Rolling Stdev (30 Minute),9/12/2014 13:28,0.97,1.14,5.84,10.25,2.92,0.31,2.07,0
Rolling Stdev (30 Minute),9/12/2014 13:29,0.95,1.16,5.81,10.62,2.92,0.31,2.11,0
Rolling Stdev (30 Minute),9/12/2014 13:30,0.96,1.16,5.79,10.35,2.88,0.31,2.10,0
Rolling Stdev (30 Minute),9/12/2014 13:31,0.97,1.13,5.78,10.34,2.87,0.31,2.05,0
Rolling Stdev (30 Minute),9/12/2014 13:32,0.97,1.16,5.53,10.18,2.85,0.29,2.11,0
Rolling Stdev (30 Minute),9/12/2014 13:33,0.99,1.14,5.84,9.58,3.02,0.29,2.06,0
Rolling Stdev (30 Minute),9/12/2014 13:34,0.99,1.13,5.66,9.85,3.02,0.28,2.06,0
Rolling Stdev (30 Minute),9/12/2014 13:35,1.00,1.14,5.70,10.22,3.00,0.28,2.07,0
Rolling Stdev (30 Minute),9/12/2014 13:36,1.07,1.16,5.58,10.20,3.11,0.28,2.10,0
Rolling Stdev (30 Minute),9/12/2014 13:37,1.07,1.14,5.62,10.21,3.22,0.28,2.08,0
Rolling Stdev (30 Minute),9/12/2014 13:38,1.06,1.18,5.38,9.93,3.22,0.25,2.14,0
Rolling Stdev (30 Minute),9/12/2014 13:39,1.07,1.16,5.41,9.85,3.22,0.25,2.11,0
Rolling Stdev (30 Minute),9/12/2014 13:40,1.05,1.14,5.42,9.47,3.24,0.24,2.08,0
Rolling Stdev (30 Minute),9/12/2014 13:41,1.05,1.08,5.64,10.15,3.21,0.27,1.97,0
Rolling Stdev (30 Minute),9/12/2014 13:42,1.03,1.12,5.66,10.64,3.30,0.28,2.04,0
Rolling Stdev (30 Minute),9/12/2014 13:43,1.02,1.13,5.47,11.22,3.34,0.29,2.05,0
